amfi_code,scheme_name,expense_ratio_pct,sharpe_ratio,alpha,max_drawdown_pct,cagr_3yr,return_rank,sharpe_rank,alpha_rank,expense_rank,maxdd_rank,composite_score,final_score
101208,ABSL Liquid Fund - Regular - Growth,0.79,-0.8156,0.0609,-0.16,6.32,10.0,1.0,8.0,30.0,3.0,9.65,28.55
102885,UTI Nifty 50 Index Fund - Regular - Growth,1.57,0.8171,0.1705,-10.86,19.67,23.0,25.0,22.0,7.0,7.0,19.299999999999997,57.1
102886,UTI Mid Cap Fund - Regular - Growth,1.51,-0.2058,0.029,-28.0,-0.77,4.0,5.0,1.0,16.5,35.0,8.625,25.52
102887,UTI Flexi Cap Fund - Regular - Growth,1.64,0.6195,0.1621,-21.54,25.56,28.0,19.0,20.0,1.5,30.0,20.375,60.28
148567,Mirae Asset Large Cap Fund - Regular - Growth,1.46,1.4483,0.2698,-11.27,34.0,39.0,40.0,34.0,18.0,8.0,32.0,94.67
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,1.52,0.9263,0.2087,-15.27,14.75,17.0,26.0,27.0,14.5,19.0,21.075,62.35
148569,Mirae Asset Tax Saver Fund - Regular - Growth,1.6,1.2349,0.2827,-16.4,29.18,33.0,38.0,37.0,4.5,21.0,29.575,87.5
149322,DSP Top 100 Equity Fund - Regular - Growth,1.54,0.464,0.1317,-14.84,18.04,20.0,16.0,17.0,10.5,16.0,16.575,49.04
149323,DSP Midcap Fund - Regular - Growth,1.61,1.1321,0.266,-17.25,26.87,30.0,35.0,33.0,3.0,22.0,27.0,79.88
149324,DSP Small Cap Fund - Regular - Growth,1.52,0.9498,0.3006,-31.17,27.0,31.0,28.0,39.0,14.5,37.0,29.974999999999998,88.68
